"","AIC.full","AIC.disc","LR.disc","AIC.cont","LR.cont"
"GSE12225.GPL3676_eset",NA,NA,NA,NA,NA
"GSE12945_eset",64.4343651516034,61.4991686294231,0.587192990501544,65.575690252843,0.0764848535456786
"GSE13067_eset",NA,NA,NA,NA,NA
"GSE17538.GPL570_eset",NA,NA,NA,NA,NA
"GSE2109_eset",NA,NA,NA,NA,NA
"GSE21510_eset",NA,NA,NA,NA,NA
"GSE33113_eset",NA,NA,NA,NA,NA
"GSE39582_eset",634.451390968876,636.409623965641,0.0508377292454058,658.415641250507,8.46525814036681e-07
"TCGA.COAD_eset",139.267203174792,135.720870717749,0.797053264264462,143.48812861773,0.0164001840530322
"TCGA.RNASeqV2_eset",199.206546691479,197.013776498882,0.405102602805045,204.225252615678,0.0110055788991845
