"","AIC.full","AIC.disc","LR.disc","AIC.cont","LR.cont"
"GSE12225.GPL3676_eset",41.2557328355316,40.5231923634167,0.195200164175099,37.5003356996528,0.884881596614818
"GSE12945_eset",93.2760575978795,89.4865471473593,0.900104172854541,89.6227547657301,0.840844458890785
"GSE13067_eset",NA,NA,NA,NA,NA
"GSE17538.GPL570_eset",36.874598028958,34.4128287729642,0.463422843857108,35.9587851243727,0.213932753845871
"GSE2109_eset",462.403542409562,459.926647970938,0.466940807123842,460.09965474079,0.428246563806054
"GSE21510_eset",82.0323952237224,81.7269631272165,0.157664810532766,80.453365184329,0.298052694686079
"GSE33113_eset",NA,NA,NA,NA,NA
"GSE39582_eset",217.663482112525,219.493037327326,0.0542160869488497,218.362623827472,0.0954100979617936
"TCGA.COAD_eset",172.482047842307,171.082569014955,0.27246078422831,170.283169132065,0.406341782427906
"TCGA.RNASeqV2_eset",252.817370410665,249.791213246003,0.614515321093669,250.701722542486,0.389778727634592
